date,max temp,mean temp,min temp,snow on grnd (cm),total precip (mm),total rain (mm),total snow (cm),total count,year,day
2012-03-06,-0.7110092,-0.9747475,-1.3142858,0.36363637,0.0,0.0,0.0,0.0,0.25,0.1780822
2015-04-30,0.21559638,0.17171715,0.12571427,0.0,0.0,0.0,0.0,2.0,0.625,0.3260274
2014-07-02,0.70183486,0.7878788,0.9142857,0.0,0.09456265,0.09456265,0.0,2.0,0.5,0.49863017
2015-01-01,-0.73394495,-0.69696975,-0.6571429,0.0,0.0,0.0,0.013513514,0.0,0.625,0.0
2015-07-04,0.5229358,0.45959595,0.39428568,0.0,0.0,0.0,0.0,2.0,0.625,0.5041096
2012-10-20,0.09174312,0.22222221,0.38857144,0.0,0.0,0.0,0.0,1.0,0.25,0.80273974
2015-01-16,-1.1697248,-1.0959597,-1.0171428,0.15151516,0.0,0.0,0.0,0.0,0.625,0.04109589
2015-03-26,-0.42201835,-0.2979798,-0.14857142,0.3181818,0.009456265,0.0,0.027027028,0.0,0.625,0.23013699
2012-12-02,-0.26605508,-0.449495,-0.68,0.0,0.16548464,0.16548464,0.0,0.0,0.25,0.92054796
2017-09-30,0.04587156,0.111111104,0.2,0.0,0.0,0.0,0.0,1.0,0.875,0.7452055
2015-11-09,-0.04587156,-0.13131316,-0.24,0.0,0.0,0.0,0.0,1.0,0.625,0.85479456
2014-04-23,-0.18348624,-0.12626263,-0.057142857,0.0,0.0,0.0,0.0,1.0,0.5,0.30684933
2013-09-25,0.33027527,0.15656564,-0.057142857,0.0,0.0,0.0,0.0,1.0,0.375,0.7315069
2011-10-13,0.07798164,0.21717173,0.4,0.0,0.13711585,0.13711585,0.0,1.0,0.125,0.7808219
2015-03-04,-0.51376146,-0.6010101,-0.70857143,0.5151515,0.0,0.0,0.0,0.0,0.625,0.16986302
2014-05-14,0.527523,0.49494952,0.46857142,0.0,0.13711585,0.13711585,0.0,1.0,0.5,0.36438358
2014-01-19,-0.7293578,-0.6717172,-0.6,0.33333334,0.010638298,0.0,0.0945946,0.0,0.5,0.04931507
2016-12-02,-0.38990828,-0.2676768,-0.114285715,0.0,0.0,0.0,0.0,1.0,0.75,0.92054796
2018-03-22,-0.3440367,-0.40404043,-0.4857143,0.13636364,0.0,0.0,0.0,0.0,1.0,0.21917808
2015-10-05,0.1055046,0.17676768,0.27428573,0.0,0.0,0.0,0.0,1.0,0.625,0.7589041
2018-08-21,0.4816514,0.5404041,0.62857145,0.0,0.39007092,0.39007092,0.0,2.0,1.0,0.6356165
2010-09-24,0.646789,0.46464646,0.25142854,0.0,0.0023640662,0.0023640662,0.0,0.0,0.0,0.72876716
2018-08-01,0.6192661,0.7828283,1.0,0.0,0.011820331,0.011820331,0.0,2.0,1.0,0.58082193
2010-10-24,-0.42660552,-0.32828283,-0.20571429,0.0,0.05200946,0.05200946,0.0,0.0,0.0,0.8109589
2016-02-04,-0.4678899,-0.34848487,-0.2,0.09090909,0.0,0.0,0.0,0.0,0.75,0.09315068
2016-02-01,-0.43577984,-0.31313133,-0.1657143,0.0,0.0,0.0,0.0,0.0,0.75,0.08493151
2011-03-03,-0.93119264,-1.1616162,-1.4628571,0.24242425,0.0,0.0,0.0,0.0,0.125,0.16712329
2016-04-15,0.04587156,-0.0909091,-0.25714287,0.0,0.0,0.0,0.0,1.0,0.75,0.28767124
2014-05-07,0.16055046,0.020202002,-0.15428571,0.0,0.0,0.0,0.0,2.0,0.5,0.3452055
2012-12-20,-0.5963303,-0.6161617,-0.6457143,0.07575758,0.2671395,0.03073286,0.5405406,0.0,0.25,0.96986306
2014-04-25,-0.02293578,-0.0808081,-0.14857142,0.0,0.02718676,0.02718676,0.0,1.0,0.5,0.3123288
2013-03-18,-0.77981657,-0.9797981,-1.2342857,0.54545456,0.10401892,0.0,0.2702703,0.0,0.375,0.20821919
2017-02-16,-0.75688076,-0.73737377,-0.71428573,0.969697,0.0,0.0,0.0,1.0,0.875,0.1260274
2012-09-07,0.57339454,0.5656566,0.5714286,0.0,0.16312057,0.16312057,0.0,2.0,0.25,0.6849315
2016-08-09,0.8486239,0.7070707,0.54285717,0.0,0.0,0.0,0.0,2.0,0.75,0.6054795
2017-01-16,-0.43577984,-0.71212125,-1.0571429,0.3030303,0.0,0.0,0.0,1.0,0.875,0.04109589
2016-07-03,0.64220184,0.5909091,0.54285717,0.0,0.0,0.0,0.0,2.0,0.75,0.5041096
2014-07-15,0.43577984,0.48484847,0.5542857,0.0,0.05437352,0.05437352,0.0,1.0,0.5,0.53424656
2013-05-28,0.43577984,0.25757575,0.039999988,0.0,0.028368795,0.028368795,0.0,1.0,0.375,0.40273973
2016-06-02,0.4816514,0.5404041,0.62857145,0.0,0.0047281324,0.0047281324,0.0,1.0,0.75,0.4191781
2012-09-17,0.5642202,0.40404037,0.21714287,0.0,0.0059101656,0.0059101656,0.0,1.0,0.25,0.7123288
2014-11-01,-0.35321102,-0.25252527,-0.12571429,0.0,0.0,0.0,0.0,1.0,0.5,0.83287674
2016-01-08,-0.60091746,-0.69191927,-0.81142855,0.24242425,0.036643025,0.0,0.06756757,0.0,0.75,0.019178083
2014-06-02,0.73394495,0.6717172,0.6057143,0.0,0.03073286,0.03073286,0.0,2.0,0.5,0.41643837
2014-04-13,-0.19724773,-0.14646466,-0.08571429,0.0,0.11583925,0.11583925,0.0,1.0,0.5,0.27945206
2013-06-27,0.6192661,0.7121212,0.84000003,0.0,0.05200946,0.05200946,0.0,2.0,0.375,0.48493153
2017-08-05,0.45871562,0.5909091,0.7714286,0.0,0.016548464,0.016548464,0.0,1.0,0.875,0.59178084
2014-10-09,-0.11926608,-0.0909091,-0.057142857,0.0,0.009456265,0.009456265,0.0,1.0,0.5,0.769863
2013-10-04,0.14220186,0.3030303,0.5085714,0.0,0.0035460994,0.0035460994,0.0,2.0,0.375,0.75616443
2014-09-17,0.23394498,0.17171715,0.097142845,0.0,0.09456265,0.09456265,0.0,2.0,0.5,0.70958906
2015-11-01,-0.0045871735,0.010101001,0.028571429,0.0,0.0,0.0,0.0,1.0,0.625,0.83287674
2017-07-17,0.57339454,0.6666667,0.8,0.0,0.0,0.0,0.0,2.0,0.875,0.539726
2014-11-24,0.24770641,0.1313131,-0.00571428,0.0,0.011820331,0.011820331,0.0,0.0,0.5,0.8958904
2015-06-20,0.527523,0.39898995,0.24571429,0.0,0.0,0.0,0.0,2.0,0.625,0.46575344
2015-04-09,-0.35321102,-0.31313133,-0.2685714,0.0,0.21749409,0.21749409,0.0,1.0,0.625,0.26849315
2016-08-14,0.4816514,0.60606056,0.7714286,0.0,0.0,0.0,0.0,2.0,0.75,0.6191781
2012-01-12,-0.7706422,-0.8333334,-0.9142857,0.15151516,0.14184397,0.07801419,0.14594595,0.0,0.25,0.03013699
2016-11-19,-0.20642203,-0.14141415,-0.057142857,0.0,0.08274232,0.08274232,0.0,1.0,0.75,0.8849315
2015-01-14,-1.1605505,-1.4040405,-1.7257143,0.10606061,0.0,0.0,0.0,0.0,0.625,0.03561644
2015-02-13,-1.4770643,-1.5909091,-1.7485714,0.45454547,0.03309693,0.0,0.08648649,0.0,0.625,0.11780822
2015-11-21,-0.293578,-0.32828283,-0.37142858,0.0,0.0,0.0,0.0,1.0,0.625,0.88767123
2017-10-09,0.20642203,0.32828283,0.4857143,0.0,0.07565012,0.07565012,0.0,1.0,0.875,0.769863
2016-03-13,-0.20642203,-0.1969697,-0.18857142,0.15151516,0.0,0.0,0.0,1.0,0.75,0.19726028
2018-12-12,-0.8486239,-0.8131314,-0.7714286,0.10606061,0.0,0.0,0.0,0.0,1.0,0.9452055
2014-03-05,-0.95412844,-1.0808082,-1.2514286,0.69696975,0.0,0.0,0.0,0.0,0.5,0.17260274
2014-08-27,0.45412844,0.60101014,0.8,0.0,0.0,0.0,0.0,2.0,0.5,0.6520548
2016-06-27,0.73394495,0.8080808,0.9142857,0.0,0.0,0.0,0.0,1.0,0.75,0.48767126
2013-12-20,-0.76146793,-0.6515152,-0.52000004,0.3030303,0.10638298,0.0,0.3108108,0.0,0.375,0.9671233
2015-10-22,0.11926608,0.06565658,0.0,0.0,0.0,0.0,0.0,2.0,0.625,0.80547947
2014-11-11,0.05963304,-0.07575758,-0.24571429,0.0,0.02600473,0.02600473,0.0,1.0,0.5,0.860274
2017-01-05,-0.8944954,-0.939394,-1.0,0.4848485,0.0,0.0,0.0,0.0,0.875,0.010958904
2017-08-02,0.75688076,0.7828283,0.82857144,0.0,0.0,0.0,0.0,2.0,0.875,0.58356166
2018-01-26,-0.8486239,-1.0404041,-1.2857143,0.21212122,0.0,0.0,0.0,0.0,1.0,0.06849315
2011-11-01,-0.041284386,-0.13131316,-0.24,0.0,0.0,0.0,0.0,1.0,0.125,0.83287674
2016-04-12,-0.3440367,-0.29292932,-0.22857143,0.0,0.0,0.0,0.0,1.0,0.75,0.27945206
2018-08-07,0.66513765,0.7676768,0.9142857,0.0,0.0,0.0,0.0,1.0,1.0,0.5972603
2013-10-25,-0.36697248,-0.30808085,-0.23428571,0.0,0.009456265,0.009456265,0.0,2.0,0.375,0.81369865
2012-08-04,1.0137614,0.93434346,0.85714287,0.0,0.0,0.0,0.0,1.0,0.25,0.59178084
2011-10-11,0.31192657,0.29292932,0.27428573,0.0,0.0,0.0,0.0,1.0,0.125,0.77534246
2018-12-18,-0.8944954,-0.8383839,-0.7714286,0.060606062,0.0,0.0,0.0,0.0,1.0,0.9616439
2015-05-24,0.6697248,0.49494952,0.2857143,0.0,0.0,0.0,0.0,2.0,0.625,0.39178082
2016-02-01,-0.43577984,-0.31313133,-0.1657143,0.0,0.0,0.0,0.0,0.0,0.75,0.08493151
2012-02-11,-1.0504588,-1.0959597,-1.16,0.34848487,0.0,0.0,0.0,0.0,0.25,0.11232877
2011-04-23,0.16513763,0.060606055,-0.062857136,0.0,0.016548464,0.016548464,0.0,0.0,0.125,0.30684933
2017-01-06,-0.940367,-1.1010101,-1.3142858,0.469697,0.0,0.0,0.0,0.0,0.875,0.013698632
2018-07-26,0.73394495,0.7828283,0.85714287,0.0,0.02600473,0.02600473,0.0,1.0,1.0,0.56438357
2018-08-31,0.43577984,0.40404037,0.37142858,0.0,0.0,0.0,0.0,2.0,1.0,0.6630137
2011-08-27,0.6192661,0.5656566,0.51428574,0.0,0.0,0.0,0.0,1.0,0.125,0.6520548
2018-08-21,0.4816514,0.5404041,0.62857145,0.0,0.39007092,0.39007092,0.0,2.0,1.0,0.6356165
2014-01-15,-0.51834863,-0.5959596,-0.6914286,0.3030303,0.0,0.0,0.0,0.0,0.5,0.038356163
2017-05-05,-0.18348624,-0.025252527,0.17142858,0.0,0.463357,0.463357,0.0,1.0,0.875,0.33972603
2011-07-22,0.8165138,0.92929304,1.0857143,0.0,0.0,0.0,0.0,1.0,0.125,0.55342466
2018-08-01,0.6192661,0.7828283,1.0,0.0,0.011820331,0.011820331,0.0,2.0,1.0,0.58082193
2013-03-27,-0.36697248,-0.2979798,-0.21714285,0.5151515,0.0,0.0,0.0,0.0,0.375,0.23287672
2011-08-24,0.5412844,0.6111111,0.70857143,0.0,0.05437352,0.05437352,0.0,1.0,0.125,0.6438356
2014-05-25,0.5917431,0.42424247,0.22857143,0.0,0.0059101656,0.0059101656,0.0,2.0,0.5,0.39452055
2012-10-12,-0.2798165,-0.21212123,-0.12571429,0.0,0.0,0.0,0.0,1.0,0.25,0.7808219
2014-08-07,0.4816514,0.5050505,0.54285717,0.0,0.0,0.0,0.0,2.0,0.5,0.5972603
2016-09-30,0.22935781,0.28787878,0.37142858,0.0,0.0,0.0,0.0,2.0,0.75,0.74794525
2017-01-18,-0.5963303,-0.54545456,-0.4857143,0.36363637,0.0023640662,0.0023640662,0.0,1.0,0.875,0.04657534
2014-11-14,-0.53211015,-0.5252526,-0.51428574,0.0,0.0,0.0,0.0,1.0,0.5,0.8684932
2018-01-13,-1.3073395,-1.2525252,-1.2,0.1969697,0.0,0.0,0.0,0.0,1.0,0.03287671
2013-04-12,-0.4816514,-0.43434346,-0.38285714,0.0,0.178487,0.14302601,0.081081085,1.0,0.375,0.27671233
2016-06-22,0.38990828,0.489899,0.62857145,0.0,0.0,0.0,0.0,2.0,0.75,0.47397262
2018-09-22,0.06880734,0.13636363,0.22857143,0.0,0.0,0.0,0.0,2.0,1.0,0.7232877
2015-06-27,0.4082569,0.43939394,0.4857143,0.0,0.0047281324,0.0047281324,0.0,2.0,0.625,0.48493153
2011-11-16,-0.0045871735,-0.03030305,-0.057142857,0.0,0.0,0.0,0.0,1.0,0.125,0.8739726
2011-11-08,-0.050458737,-0.11111113,-0.18285714,0.0,0.0,0.0,0.0,1.0,0.125,0.85205483
2016-12-14,-0.8256881,-0.7878788,-0.74285716,0.21212122,0.02600473,0.0,0.081081085,0.0,0.75,0.9534247
2017-01-30,-1.1009175,-1.1262627,-1.1714286,0.34848487,0.0,0.0,0.0,1.0,0.875,0.07945205
